evaluate_agent (LunarLanderContinuous-v2)
global_step=34568, episodic_return=[-1.9172897]
global_step=34828, episodic_return=[-51.468525]
global_step=34944, episodic_return=[-4.138611]
global_step=34972, episodic_return=[-61.820244]
global_step=35004, episodic_return=[-23.329163]
global_step=35448, episodic_return=[-7.2849426]
global_step=35468, episodic_return=[-87.47895]
global_step=35648, episodic_return=[-45.09504]
global_step=35780, episodic_return=[-32.692566]
global_step=35832, episodic_return=[-53.075924]
global_step=36004, episodic_return=[-89.96014]
global_step=36024, episodic_return=[-20.856117]
global_step=36364, episodic_return=[-283.02347]
global_step=36456, episodic_return=[-89.89673]
global_step=36632, episodic_return=[-55.697495]
global_step=36788, episodic_return=[46.259796]
global_step=36908, episodic_return=[-56.01141]
global_step=37052, episodic_return=[-74.94565]
global_step=37216, episodic_return=[-14.770813]
global_step=37408, episodic_return=[-65.656586]
global_step=37476, episodic_return=[-8.530357]
global_step=37584, episodic_return=[-22.607193]
global_step=37760, episodic_return=[-37.07271]
global_step=37892, episodic_return=[-79.24567]
global_step=38184, episodic_return=[-6.412956]
global_step=38220, episodic_return=[6.558716]
global_step=38224, episodic_return=[-155.81357]
global_step=38572, episodic_return=[-93.36539]
global_step=38692, episodic_return=[-53.968307]
global_step=38708, episodic_return=[-63.316933]
global_step=38856, episodic_return=[-41.386295]
global_step=39060, episodic_return=[-60.099068]
global_step=39200, episodic_return=[-267.5397]
global_step=39216, episodic_return=[-73.35456]
global_step=39556, episodic_return=[-47.34847]
global_step=39576, episodic_return=[-26.854378]
global_step=39596, episodic_return=[-27.441948]
global_step=39832, episodic_return=[-132.80186]
global_step=40036, episodic_return=[-35.17823]
global_step=40108, episodic_return=[-49.80607]
global_step=40288, episodic_return=[-312.4395]
global_step=40292, episodic_return=[-159.88304]
global_step=40520, episodic_return=[-84.443306]
global_step=40556, episodic_return=[-32.821182]
global_step=40744, episodic_return=[-136.92514]
global_step=40836, episodic_return=[-42.985718]
global_step=40940, episodic_return=[-76.50698]
SPS: 1246
global_step=41308, episodic_return=[-41.24046]
global_step=41408, episodic_return=[-48.840374]
global_step=41480, episodic_return=[-60.317673]
global_step=41632, episodic_return=[-75.119446]
global_step=41800, episodic_return=[4.1928024]
global_step=41944, episodic_return=[29.771362]
global_step=41976, episodic_return=[-69.9068]
global_step=42300, episodic_return=[-27.155495]
global_step=42348, episodic_return=[25.50206]
global_step=42492, episodic_return=[-75.393]
global_step=42660, episodic_return=[-97.48491]
global_step=42816, episodic_return=[-81.00061]
global_step=42852, episodic_return=[-52.709137]
global_step=43056, episodic_return=[-12.837936]
global_step=43164, episodic_return=[-102.32987]
global_step=43248, episodic_return=[-9.182602]
global_step=43504, episodic_return=[-63.37956]
global_step=43564, episodic_return=[-95.39113]
global_step=43928, episodic_return=[-3.2420197]
global_step=43940, episodic_return=[-2.4722595]
global_step=44172, episodic_return=[-108.18416]
global_step=44260, episodic_return=[-72.745186]
global_step=44376, episodic_return=[42.460144]
global_step=44392, episodic_return=[-29.252182]
global_step=44756, episodic_return=[-150.50262]
global_step=44812, episodic_return=[-67.71426]
global_step=44932, episodic_return=[-80.28462]
global_step=45136, episodic_return=[-106.06709]
global_step=45200, episodic_return=[-55.411125]
global_step=45348, episodic_return=[8.292572]
global_step=45420, episodic_return=[-7.1738586]
global_step=45872, episodic_return=[-70.213394]
global_step=45928, episodic_return=[-70.61372]
global_step=46024, episodic_return=[-6.484131]
global_step=46040, episodic_return=[-11.330627]
global_step=46264, episodic_return=[30.541626]
global_step=46420, episodic_return=[-15.73983]
global_step=46620, episodic_return=[-37.309055]
global_step=46736, episodic_return=[-57.732677]
global_step=46832, episodic_return=[-28.039726]
global_step=46920, episodic_return=[4.4253845]
global_step=46936, episodic_return=[-72.37162]
global_step=47432, episodic_return=[-59.38527]
global_step=47456, episodic_return=[-11.292854]
global_step=47488, episodic_return=[4.8364334]
global_step=47728, episodic_return=[-134.82935]
global_step=47760, episodic_return=[-43.070156]
global_step=47996, episodic_return=[-46.231426]
global_step=48092, episodic_return=[-34.591278]
global_step=48128, episodic_return=[-9.459549]
global_step=48264, episodic_return=[7.5236206]
global_step=48484, episodic_return=[-42.359425]
global_step=48524, episodic_return=[-56.652542]
global_step=48632, episodic_return=[-18.599892]
global_step=48908, episodic_return=[-19.407974]
global_step=49012, episodic_return=[19.668388]
global_step=49104, episodic_return=[41.50673]
SPS: 1261
global_step=49476, episodic_return=[-8.0514145]
global_step=49632, episodic_return=[-2.1154175]
global_step=49676, episodic_return=[1.4756317]
global_step=50136, episodic_return=[33.99124]
global_step=50212, episodic_return=[9.202156]
global_step=50336, episodic_return=[18.617363]
global_step=50908, episodic_return=[-7.154251]
global_step=51008, episodic_return=[-105.75872]
global_step=51164, episodic_return=[-9.934326]
global_step=51288, episodic_return=[-17.371994]
global_step=51636, episodic_return=[-23.92775]
global_step=51860, episodic_return=[-67.01799]
global_step=52184, episodic_return=[-36.61116]
global_step=52604, episodic_return=[-85.04299]
global_step=52912, episodic_return=[-18.584541]
global_step=53104, episodic_return=[-27.37282]
global_step=53756, episodic_return=[-1.1474762]
global_step=53916, episodic_return=[-125.827736]
global_step=54336, episodic_return=[-70.33878]
global_step=54852, episodic_return=[1.5135117]
global_step=55100, episodic_return=[-79.88478]
global_step=55276, episodic_return=[-208.38416]
global_step=55416, episodic_return=[10.216545]
global_step=55488, episodic_return=[-26.285934]
global_step=56088, episodic_return=[-29.638023]
global_step=56112, episodic_return=[0.0351944]
global_step=56548, episodic_return=[5.5296936]
global_step=56604, episodic_return=[-63.32123]
global_step=56748, episodic_return=[-48.631065]
global_step=57136, episodic_return=[-203.20982]
global_step=57156, episodic_return=[-1.6517181]
global_step=57196, episodic_return=[3.7361221]
global_step=57228, episodic_return=[-52.158783]
SPS: 1320
global_step=57652, episodic_return=[-10.252251]
global_step=57864, episodic_return=[8.58857]
global_step=57948, episodic_return=[-25.974846]
global_step=58112, episodic_return=[19.319931]
global_step=58464, episodic_return=[17.435616]
global_step=58756, episodic_return=[10.244179]
global_step=58940, episodic_return=[-39.7408]
global_step=59776, episodic_return=[-32.729042]
global_step=60196, episodic_return=[24.292892]
global_step=60600, episodic_return=[-152.85089]
global_step=61228, episodic_return=[7.2997293]
global_step=61876, episodic_return=[-3.109604]
global_step=62680, episodic_return=[-97.86199]
global_step=62756, episodic_return=[-13.29102]
global_step=63304, episodic_return=[0.4293747]
global_step=63392, episodic_return=[-2.384674]
